county,state_name,lat,lng,population
Oswego,New York,43.4269,-76.1413,118037
Potter,Texas,35.4013,-101.8939,117905
Sheboygan,Wisconsin,43.7212,-87.9454,117741
Robeson,North Carolina,34.6402,-79.1039,117573
Flagler,Florida,29.4614,-81.3136,117515
Wayne,North Carolina,35.364,-78.004,117480
Jefferson,New York,44.0496,-75.9203,117445
Wayne,Ohio,40.8289,-81.888,116680
Henderson,North Carolina,35.3363,-82.48,116469
Calhoun,Alabama,33.7714,-85.826,116162
Lycoming,Pennsylvania,41.3434,-77.0645,114022
St. Mary's,Maryland,38.3024,-76.6058,113814
Newton,Georgia,33.555,-83.8502,113298
Northwest Hills,Connecticut,41.8469,-73.2212,112696
Albemarle,Virginia,38.0229,-78.5567,112513
Ontario,New York,42.8528,-77.2998,112288
LaPorte,Indiana,41.546,-86.74,112215
Delaware,Indiana,40.2275,-85.3969,112156
Androscoggin,Maine,44.1658,-70.2064,111532
Douglas,Oregon,43.2797,-123.1665,111322
Craighead,Arkansas,35.8308,-90.6328,111038
Hardin,Kentucky,37.6979,-85.9634,111005
Rockwall,Texas,32.8978,-96.4079,110631
Cowlitz,Washington,46.1932,-122.681,110621
Mercer,Pennsylvania,41.3022,-80.2577,110600
Hanover,Virginia,37.7601,-77.491,110513
Pennington,South Dakota,44.0037,-102.8238,110386
Warren,New Jersey,40.8572,-74.9973,109739
LaSalle,Illinois,41.344,-88.8859,109495
Bartow,Georgia,34.2377,-84.8403,109410
Madison,Mississippi,32.6347,-90.0337,109257
Eaton,Michigan,42.5961,-84.8383,109072
Terrebonne,Louisiana,29.4148,-90.8663,108862
Bradley,Tennessee,35.1541,-84.8596,108859
Miami,Ohio,40.0535,-84.2288,108818
St. Lawrence,New York,44.4964,-75.0691,108670
Matanuska-Susitna,Alaska,62.316,-149.5729,108661
Cass,Missouri,38.647,-94.3549,108205
Yamhill,Oregon,45.2326,-123.3081,107674
Kankakee,Illinois,41.1377,-87.8618,107421
Carver,Minnesota,44.8207,-93.8026,107216
